user_id,clothing_id,brand_name,age,gender,occassion,weather,category,subcategory,color,subcolor,purchase_date,material,pattern,product_display_name
G5,1,Zara,,Unisex,Casual,Unspecified,Bottom,Denim Pants,Dark,Blue,2024-03-02,Denim,Plain,
G5,2,Uniqlo,,Unisex,Casual,Unspecified,Bottom,Denim Pants,Light,Blue,2023-01-04,Denim,Plain,
G5,3,Lululemon,,Women,Casual,Unspecified,Bottom,Cargo Pants,Dark,Green,,Nylon,Plain,Lululemon Dance Studio Relaxed-Fit Mid-Rise Cargo Pant
G5,4,Love Bonito,,Women,Formal,Unspecified,Bottom,Work Pants,Dark,Black,,Polyester,Plain,Love Bonito PETITE Leggy™ Moira Super High Waist Straight Leg Pants
G5,5,Ever New,,Women,Casual,Summer,Top,Dress,Light,White,2024-10-25,Eyelet,Floral,
G5,6,Nike,,Women,Casual,Summer,Top,Tshirts,Dark,Blue,2025-02-10,Polyester,Plain,Nike Women Blue Polo T-shirt
G5,7,Vans,,Unisex,Casual,Unspecified,Footwear,Casual Shoes,Dark,Black,,Canvas,Plain,Vans Unisex Black & Grey Classic Shoes
B1,8,Adidas,,Men,Casual,Unspecified,Top,Tshirts,Light,Grey,,Nylon,Plain,ADIDAS Men Grey Striped T-shirt
B1,9,Clarks,,Men,Formal,Unspecified,Footwear,Leather,Dark,Black,2024-06-19,Leather,Plain,Clarks Men Hang Work Leather Black Formal Shoes
B1,10,Zara,,Men,Casual,Unspecified,Top,Polo Shirts,Light,Beige,2025-04-06,Cotton,Plain,Zara Men Regular fit knitted polo shirt made of a cotton blend yarn. Lapel collar with front button fastening. Short sleeves. Ribbed trims.
B1,11,Zara,,Men,Formal,Unspecified,Top,Blazer,Dark,Black,2024-12-08, ,Plain,Zara Men Relaxed fit blazer in a lightly waxed cotton fabric.
B1,12,Zara,,Men,Formal,Unspecified,Bottom,Work Pants,Dark,Black,,Linen,Plain,Zara Men100% LINEN PLEATED TROUSERS
B1,13,Zara,,Men,Casual,Unspecified,Bottom,Shorts,Light,Light beige,,Linen,Plain,Zara Men 100% LINEN BERMUDA SHORTS
G5,14,Uniqlo,,Men,Casual,Unspecified,Top,Tshirts,Light,White,,Cotton,Plain,
G5,15,Uniqlo,,Men,Casual,Unspecified,Top,Polo,Dark,Blue,,Cotton,Stripes,
B1,16,Lacoste,,Men,Formal,Unspecified,Top,Polo,Light,White,2025-01-20,Cotton,Plain,Lacoste Slim Fit Petit Piqué Shirt
B1,17,Tom Ford,,Men,Casual,Unspecified,Bottom,Pants,Light,Blue,,Denim,,TOM FORD's jeans are expertly made from premium denim in a medium blue wash
B1,18,Polo Ralph Lauren,,Men,Formal,Unspecified,Top,Polo,Light,Blue,,Cotton,Plain,Custom Fit Stretch Oxford Shirt
B1,19,Polo Ralph Lauren,,Men,Formal,Unspecified,Top,Polo,Light,Pink,,Cotton,Plain,Custom Fit Stretch Oxford Shirt
B1,20,Polo Ralph Lauren,,Men,Formal,Unspecified,Top,Polo,Dark,Navy Blue,,Cotton,Stripes,Custom Fit Stretch Oxford Shirt
B1,21,Zara,,Women,Formal,Unspecified,Top,Dress,Light,Pink,,Knitted,Floral,Knit Dress With Box Pleats
B1,22,H&M,,Women,Casual,Unspecified,Bottom,Shorts,Dark,Black,,Cotton,Plain,Dobby-Weave Shorts
G5,23,H&M,,Women,Casual,Unspecified,Footwear,Flat Shoes,Dark,Red,,Cotton,Plain,Braided Flats
G5,24,Nike,,Men,Casual,Unspecified,Footwear,Rubber shoes,Light,White,,Rubber,,Nike Air Jordan Shoes
B1,25,Vivaia,,Women,Formal,Unspecified,Footwear,Heels,Dark,Black,,Leather,Plain,
B1,26,Charles & Keith,,Women,Formal,Unspecified,Footwear,Stilettos,Dark,Black,,Leather,Plain,
B1,27,Vivaia,,Women,Formal,Unspecified,Footwear,Pumps,Light,Brown,,Leather,Plain,
B1,28,Uniqlo,,Men,Formal,Unspecified,Bottom,Slacks,Light,Brown,,Cotton,Plain,
B1,29,Cole Haan,,Men,Formal,Unspecified,Footwear,Leather shoes,Dark,Brown,,Leather,Plain,
G1,30,Zara,,Women,Formal,Unspecified,Bottom,Work Pants,Dark,Black,,Cotton,Plain,Ankle-length slacks in woven stretch fabric
G1,31,H&M,,Women,Formal,Unspecified,Top,Blouse,Light,White,,Cotton,Plain,H&M Tie Detail top
G5,32,Coach,,Women,Formal,Unspecified,Bag,Hand bag,Dark,Brown,,Leather,Plain,
G5,33,Kate Spade,,Women,Casual,Unspecified,Bag,Crossbody bag,Light,Pink,,Nylon,Plain,
B1,34,,,Women,Formal,Unspecified,Accessories,,,,,,,
G1,35,CLN,,Women,Formal,Unspecified,Bag,Clutches,,Cream,,Leather,Plain,
G1,36,Kate Spade,,Women,Formal,Unspecified,Bag,Shoulder bag,,Black,,Leather,Plain,
G1,37,Uniqlo,,Unisex,Casual,,Top,Polo,,Black,,Cotton ,Plan,Uniqlo Cotton Pointelle Short Sleeve Polo
G1,38,Uniqlo,,Women,Formal,,Top,Long Sleeves,LIght,Beige,,Satin,Plain ,Uniqlo Satin Long Sleeves
G1,39,Uniqlo,,Women,Formal,,Top,Long Sleeves,Dark,Black,,Satin,Plain ,Uniqlo Satin Long Sleeves
G1,40,Uniqlo,,Women,Casual,,Top,Blouse,LIght,Olive,,Linen,Plain ,Uniqlo Linen 3/4 Sleeves
G1,41,Uniqlo,,Women,Smart Casual,,Top,Blouse,LIght,White,,Linen,Stripes,Uniqlo Premium Linen Long Sleeves
